plk-invoice-number,xyz-branch,city-ghh-998,type-usr-search,gender,category-catalog-dsp,cost of goods sold,sale,dateddmmyyy,time,payment-type-full,review
242-55-6721,B,Chicago,Normal,Male,Home and lifestyle,32.32,33.936,03/07/2019,11:49,Ewallet,6.5
399-46-5918,C,Houston,Normal,Female,Electronic accessories,687.84,722.232,2/28/2019,19:01,Cash,8.2
106-35-6779,A,Nueva York,Member,Male,Home and lifestyle,88.68,93.114,3/27/2019,11:26,Cash,5.8
635-40-6220,A,Nueva York,Normal,Male,Health and beauty,716.8,752.64,02/07/2019,11:28,Ewallet,6.6
817-48-8732,A,Nueva York,Member,Female,Home and lifestyle,723.5,759.675,1/20/2019,15:55,Cash,5.4
120-06-4233,C,Houston,Normal,Male,Electronic accessories,183.66,192.843,03/12/2019,20:36,Cash,9.3
285-68-5083,C,Houston,Member,Female,Sports and travel,74.22,77.931,2/15/2019,17:47,Credit card,10
803-83-5989,C,Houston,Normal,Male,Home and lifestyle,334.38,351.099,2/24/2019,10:55,Ewallet,7
347-34-2234,B,Chicago,Member,Female,Sports and travel,495.63,520.4115,02/03/2019,13:40,Ewallet,10
199-75-8169,A,Nueva York,Member,Male,Sports and travel,158.1,166.005,03/06/2019,12:27,Credit card,8.6
853-23-2453,B,Chicago,Member,Male,Health and beauty,302.96,318.108,2/14/2019,14:35,Cash,7.6
877-22-3308,A,Nueva York,Member,Male,Health and beauty,158.7,166.635,3/13/2019,16:40,Cash,5.8
838-78-4295,C,Houston,Normal,Female,Health and beauty,66.94,70.287,02/10/2019,15:43,Ewallet,6.7
109-28-2512,B,Chicago,Member,Female,Fashion accessories,585.66,614.943,01/07/2019,15:01,Ewallet,9.9
232-11-3025,A,Nueva York,Normal,Male,Sports and travel,787.7,827.085,1/24/2019,10:04,Cash,6.4
382-03-4532,A,Nueva York,Member,Female,Health and beauty,18.33,19.2465,02/02/2019,18:50,Cash,4.3
393-65-2792,C,Houston,Normal,Male,Food and beverages,894.8,939.54,01/06/2019,12:46,Credit card,9.6
796-12-2025,C,Houston,Normal,Male,Fashion accessories,621.2,652.26,02/11/2019,16:19,Cash,5.9
510-95-6347,B,Chicago,Member,Female,Food and beverages,145.56,152.838,03/05/2019,18:17,Ewallet,4
841-35-6630,C,Houston,Normal,Female,Electronic accessories,455.46,478.233,03/09/2019,18:21,Cash,8.7
287-21-9091,A,Nueva York,Normal,Male,Home and lifestyle,672.03,705.6315,1/22/2019,10:55,Ewallet,9.4
732-94-0499,C,Houston,Normal,Female,Electronic accessories,416.5,437.325,1/13/2019,17:04,Credit card,5.4
263-10-3913,C,Houston,Member,Male,Fashion accessories,441.36,463.428,01/09/2019,14:20,Credit card,8.6
381-20-0914,A,Nueva York,Member,Female,Fashion accessories,180.09,189.0945,01/12/2019,15:48,Credit card,5.7
829-49-1914,C,Houston,Member,Female,Food and beverages,783.1,822.255,03/05/2019,16:24,Ewallet,6.6
756-01-7507,C,Houston,Normal,Female,Health and beauty,101.9,106.995,1/22/2019,18:56,Cash,6
870-72-4431,C,Houston,Normal,Female,Health and beauty,595.14,624.897,1/21/2019,14:42,Credit card,5.5
847-38-7188,B,Chicago,Normal,Female,Food and beverages,290.04,304.542,1/26/2019,19:56,Ewallet,6.4
480-63-2856,C,Houston,Normal,Male,Food and beverages,154,161.7,1/23/2019,18:37,Ewallet,6.6
787-56-0757,C,Houston,Member,Female,Food and beverages,321.44,337.512,2/23/2019,18:45,Credit card,8.3
360-39-5055,C,Houston,Member,Male,Sports and travel,244.55,256.7775,03/09/2019,10:17,Cash,6.6
730-50-9884,C,Houston,Normal,Female,Sports and travel,581.42,610.491,03/05/2019,14:31,Ewallet,4
362-58-8315,C,Houston,Normal,Male,Fashion accessories,382.6,401.73,3/25/2019,10:23,Cash,9.9
633-44-8566,A,Nueva York,Member,Male,Food and beverages,345.66,362.943,3/27/2019,20:35,Credit card,7.3
504-35-8843,A,Nueva York,Normal,Male,Sports and travel,42.47,44.5935,01/02/2019,16:57,Cash,5.7
318-68-5053,B,Chicago,Normal,Female,Health and beauty,461.94,485.037,2/27/2019,17:55,Cash,6.1
565-80-5980,C,Houston,Member,Female,Home and lifestyle,189.52,198.996,1/23/2019,10:25,Cash,7.1
225-32-0908,C,Houston,Normal,Female,Sports and travel,448.6,471.03,1/26/2019,19:54,Ewallet,8.2
873-51-0671,A,Nueva York,Member,Female,Sports and travel,153.86,161.553,01/10/2019,16:42,Ewallet,5.1
152-08-9985,B,Chicago,Member,Male,Health and beauty,579.24,608.202,03/12/2019,12:09,Credit card,8.6
512-91-0811,C,Houston,Normal,Male,Health and beauty,89.75,94.2375,02/06/2019,20:05,Credit card,6.6
594-34-4444,A,Nueva York,Normal,Male,Electronic accessories,97.16,102.018,03/08/2019,20:38,Ewallet,7.2
766-85-7061,B,Chicago,Normal,Male,Health and beauty,878.7,922.635,3/29/2019,10:25,Ewallet,5.1
871-39-9221,C,Houston,Normal,Female,Electronic accessories,74.7,78.435,02/09/2019,13:11,Cash,4.1
865-92-6136,A,Nueva York,Normal,Male,Food and beverages,158.25,166.1625,3/23/2019,10:16,Ewallet,9.3
733-01-9107,B,Chicago,Normal,Male,Home and lifestyle,496.2,521.01,03/05/2019,18:14,Cash,7.4
163-56-7055,C,Houston,Member,Male,Fashion accessories,48.71,51.1455,3/26/2019,19:20,Cash,4.1
189-98-2939,C,Houston,Normal,Male,Fashion accessories,706.95,742.2975,03/01/2019,13:22,Cash,7.2
551-21-3069,C,Houston,Normal,Female,Electronic accessories,207.63,218.0115,02/01/2019,11:27,Cash,4.9
212-62-1842,A,Nueva York,Normal,Male,Food and beverages,349.56,367.038,3/28/2019,16:44,Cash,9.9
716-39-1409,B,Chicago,Normal,Male,Health and beauty,212.45,223.0725,3/19/2019,18:19,Cash,8
704-48-3927,A,Nueva York,Member,Male,Electronic accessories,886.7,931.035,01/12/2019,14:50,Ewallet,7.3
628-34-3388,C,Houston,Normal,Male,Fashion accessories,164.28,172.494,01/05/2019,20:54,Credit card,7.9
630-74-5166,A,Nueva York,Normal,Male,Sports and travel,372.78,391.419,3/22/2019,20:19,Cash,7.4
588-01-7461,C,Houston,Normal,Female,Food and beverages,305.82,321.111,3/24/2019,10:43,Cash,4.2
861-77-0145,C,Houston,Member,Male,Electronic accessories,819.7,860.685,03/03/2019,14:30,Cash,9.2
479-26-8945,B,Chicago,Member,Female,Sports and travel,32.98,34.629,02/05/2019,11:32,Ewallet,4.6
210-67-5886,C,Houston,Member,Female,Health and beauty,294.63,309.3615,02/05/2019,10:41,Credit card,7.8
227-78-1148,B,Chicago,Normal,Female,Fashion accessories,509.88,535.374,2/15/2019,12:44,Cash,8.4
645-44-1170,A,Nueva York,Member,Male,Home and lifestyle,522.63,548.7615,1/19/2019,20:07,Ewallet,4.3
237-01-6122,C,Houston,Member,Female,Home and lifestyle,727.11,763.4655,02/01/2019,20:31,Credit card,9.5
225-98-1496,C,Houston,Normal,Female,Fashion accessories,81.06,85.113,03/02/2019,13:01,Credit card,7.1
291-32-1427,B,Chicago,Member,Male,Fashion accessories,109.7,115.185,03/05/2019,12:29,Ewallet,5.3
659-65-8956,B,Chicago,Member,Male,Fashion accessories,51.36,53.928,1/16/2019,15:26,Ewallet,5.2
642-32-2990,A,Nueva York,Normal,Female,Food and beverages,109.6,115.08,02/02/2019,20:48,Ewallet,6
378-24-2715,B,Chicago,Normal,Male,Home and lifestyle,106.88,112.224,1/20/2019,20:38,Ewallet,4.1
638-60-7125,A,Nueva York,Normal,Female,Electronic accessories,796.48,836.304,2/14/2019,17:03,Credit card,5.2
659-36-1684,C,Houston,Member,Male,Sports and travel,399.84,419.832,01/12/2019,12:02,Credit card,6.5
219-22-9386,B,Chicago,Member,Male,Sports and travel,899.64,944.622,03/09/2019,17:26,Credit card,4.2
336-78-2147,C,Houston,Member,Male,Home and lifestyle,511.28,536.844,3/13/2019,19:52,Credit card,4.6
268-27-6179,B,Chicago,Member,Female,Fashion accessories,451.76,474.348,03/09/2019,14:57,Ewallet,7.3
668-90-8900,A,Nueva York,Normal,Female,Home and lifestyle,655.83,688.6215,03/10/2019,18:44,Credit card,4.5
870-54-3162,A,Nueva York,Normal,Female,Sports and travel,161.25,169.3125,1/27/2019,13:26,Cash,9
189-08-9157,C,Houston,Normal,Female,Fashion accessories,285.57,299.8485,01/08/2019,16:17,Credit card,5.9
663-86-9076,C,Houston,Member,Female,Food and beverages,548.32,575.736,01/08/2019,15:57,Ewallet,8.5
549-84-7482,B,Chicago,Normal,Female,Sports and travel,812.52,853.146,02/08/2019,11:15,Ewallet,7.2
191-10-6171,B,Chicago,Normal,Female,Fashion accessories,277.34,291.207,1/25/2019,13:18,Cash,7.5
802-70-5316,A,Nueva York,Member,Female,Sports and travel,552.78,580.419,03/06/2019,20:34,Cash,8.3
695-51-0018,B,Chicago,Normal,Female,Sports and travel,139.36,146.328,02/10/2019,18:36,Cash,7.4
590-83-4591,B,Chicago,Member,Male,Electronic accessories,524.7,550.935,2/17/2019,14:40,Credit card,8.8
483-71-1164,C,Houston,Normal,Female,Health and beauty,487.8,512.19,03/08/2019,16:43,Ewallet,5.3
597-78-7908,C,Houston,Normal,Male,Fashion accessories,270.66,284.193,2/18/2019,19:39,Cash,6.2
700-81-1757,A,Nueva York,Normal,Female,Electronic accessories,131.55,138.1275,1/18/2019,20:59,Credit card,8.8
354-39-5160,A,Nueva York,Member,Female,Home and lifestyle,206.52,216.846,2/18/2019,15:39,Cash,9.8
241-72-9525,B,Chicago,Normal,Male,Sports and travel,519.1,545.055,2/16/2019,12:21,Cash,8.2
575-30-8091,A,Nueva York,Normal,Male,Sports and travel,580,609,3/16/2019,19:25,Ewallet,9.2
731-81-9469,C,Houston,Member,Female,Sports and travel,898,942.9,1/23/2019,13:00,Credit card,5.4
280-17-4359,C,Houston,Member,Male,Health and beauty,905,950.25,1/25/2019,13:48,Cash,8.1
338-65-2210,C,Houston,Member,Female,Health and beauty,686,720.3,02/05/2019,19:57,Cash,9.1
488-25-4221,C,Houston,Member,Female,Food and beverages,30.41,31.9305,2/22/2019,10:36,Credit card,8.4
239-10-7476,A,Nueva York,Normal,Female,Home and lifestyle,467.7,491.085,1/21/2019,16:37,Ewallet,8
458-41-1477,C,Houston,Normal,Female,Health and beauty,277.56,291.438,03/08/2019,17:11,Credit card,9.5
685-64-1609,A,Nueva York,Member,Female,Fashion accessories,301.4,316.47,02/10/2019,12:28,Ewallet,9.2
568-90-5112,C,Houston,Normal,Male,Health and beauty,264.56,277.788,3/19/2019,12:46,Credit card,5.6
262-47-2794,B,Chicago,Member,Male,Home and lifestyle,574.88,603.624,03/06/2019,15:07,Credit card,6.2
238-49-0436,A,Nueva York,Normal,Male,Health and beauty,259.68,272.664,3/27/2019,13:48,Credit card,4.9
608-96-3517,B,Chicago,Member,Female,Fashion accessories,366.16,384.468,3/23/2019,19:20,Credit card,4.8
584-86-7256,C,Houston,Member,Male,Sports and travel,241.92,254.016,03/11/2019,16:07,Credit card,7.3
746-94-0204,A,Nueva York,Normal,Male,Fashion accessories,749.16,786.618,1/29/2019,11:56,Credit card,7.4
214-17-6927,C,Houston,Normal,Female,Food and beverages,98.88,103.824,02/07/2019,18:23,Ewallet,9.9
400-89-4171,C,Houston,Normal,Female,Sports and travel,647.76,680.148,1/28/2019,13:05,Cash,9.3
782-95-9291,A,Nueva York,Member,Male,Food and beverages,461.45,484.5225,2/20/2019,15:55,Credit card,9
279-74-2924,B,Chicago,Member,Male,Electronic accessories,72.17,75.7785,01/04/2019,19:40,Cash,6.1
307-85-2293,B,Chicago,Normal,Male,Home and lifestyle,251.4,263.97,03/07/2019,13:58,Ewallet,9.7
743-04-1105,B,Chicago,Member,Male,Health and beauty,874.98,918.729,3/30/2019,14:43,Ewallet,6
423-57-2993,B,Chicago,Normal,Male,Sports and travel,560.34,588.357,3/27/2019,19:18,Ewallet,10
894-41-5205,C,Houston,Normal,Female,Food and beverages,345.44,362.712,1/19/2019,19:39,Credit card,8.3
275-28-0149,A,Nueva York,Normal,Male,Sports and travel,63.69,66.8745,2/25/2019,16:21,Cash,6
101-17-6199,A,Nueva York,Normal,Male,Food and beverages,320.53,336.5565,3/13/2019,19:44,Credit card,7
423-80-0988,C,Houston,Normal,Male,Sports and travel,152.8,160.44,1/30/2019,19:42,Ewallet,6.5
548-46-9322,B,Chicago,Normal,Male,Food and beverages,399,418.95,2/20/2019,15:24,Credit card,5.9
505-02-0892,B,Chicago,Member,Male,Health and beauty,340.56,357.588,2/25/2019,14:12,Ewallet,5.6
234-65-2137,C,Houston,Normal,Male,Home and lifestyle,955.8,1003.59,1/16/2019,13:32,Cash,4.8
687-47-8271,A,Nueva York,Normal,Male,Fashion accessories,989.8,1039.29,02/08/2019,16:20,Credit card,8.7
796-32-9050,A,Nueva York,Normal,Male,Food and beverages,307.68,323.064,1/19/2019,16:31,Cash,6.5
105-31-1824,A,Nueva York,Member,Male,Sports and travel,486.64,510.972,02/01/2019,15:10,Credit card,8.5
249-42-3782,A,Nueva York,Normal,Male,Health and beauty,350.05,367.5525,01/03/2019,11:36,Ewallet,5.5
316-55-4634,B,Chicago,Member,Male,Food and beverages,400.25,420.2625,1/26/2019,12:45,Credit card,9.4
733-33-4967,C,Houston,Normal,Male,Electronic accessories,166.8,175.14,03/03/2019,19:17,Cash,6.3
608-27-6295,B,Chicago,Member,Male,Electronic accessories,317.34,333.207,1/19/2019,17:34,Credit card,9.8
414-12-7047,B,Chicago,Normal,Male,Food and beverages,158.32,166.236,1/18/2019,12:04,Ewallet,8.7
827-26-2100,A,Nueva York,Member,Male,Home and lifestyle,304.56,319.788,3/21/2019,16:21,Ewallet,8.8
175-54-2529,A,Nueva York,Member,Male,Food and beverages,177.36,186.228,03/03/2019,17:01,Credit card,9.6
139-52-2867,C,Houston,Normal,Female,Fashion accessories,157.57,165.4485,2/13/2019,10:50,Credit card,4.8
407-63-8975,A,Nueva York,Normal,Male,Food and beverages,443.28,465.444,3/23/2019,19:16,Ewallet,4.4
342-65-4817,C,Houston,Member,Male,Health and beauty,260.4,273.42,1/28/2019,16:47,Ewallet,9.9
130-98-8941,C,Houston,Normal,Male,Fashion accessories,449.82,472.311,02/09/2019,10:00,Cash,5.7
434-83-9547,C,Houston,Member,Male,Food and beverages,307.76,323.148,1/23/2019,11:51,Cash,7.7
851-28-6367,A,Nueva York,Member,Male,Sports and travel,155,162.75,3/23/2019,10:55,Ewallet,8
824-88-3614,C,Houston,Normal,Male,Health and beauty,274.48,288.204,1/25/2019,15:00,Ewallet,5.7
586-25-0848,A,Nueva York,Normal,Female,Sports and travel,86.38,90.699,03/04/2019,11:19,Credit card,6.7
895-66-0685,B,Chicago,Member,Male,Food and beverages,54.24,56.952,03/05/2019,19:46,Ewallet,8
305-14-0245,B,Chicago,Member,Female,Home and lifestyle,755.92,793.716,03/03/2019,19:00,Ewallet,7.5
732-04-5373,B,Chicago,Member,Male,Home and lifestyle,185.88,195.174,02/08/2019,10:53,Cash,7
400-60-7251,A,Nueva York,Normal,Male,Home and lifestyle,74.07,77.7735,02/10/2019,12:50,Ewallet,9.9
593-65-1552,C,Houston,Normal,Female,Home and lifestyle,279.24,293.202,1/28/2019,20:50,Credit card,5.9
284-34-9626,B,Chicago,Normal,Female,Home and lifestyle,231.12,242.676,02/11/2019,10:39,Credit card,7.2
437-58-8131,B,Chicago,Normal,Female,Fashion accessories,147.04,154.392,1/15/2019,13:41,Ewallet,4.6
286-43-6208,C,Houston,Normal,Female,Food and beverages,790.2,829.71,3/16/2019,19:08,Cash,9.2
641-43-2399,B,Chicago,Normal,Male,Home and lifestyle,102.2,107.31,1/26/2019,20:23,Ewallet,5.7
831-07-6050,A,Nueva York,Normal,Male,Electronic accessories,163.55,171.7275,3/19/2019,11:30,Credit card,9.9
556-86-3144,C,Houston,Member,Female,Fashion accessories,74.29,78.0045,1/13/2019,19:30,Cash,5
848-24-9445,C,Houston,Member,Male,Health and beauty,87.4,91.77,3/26/2019,18:03,Cash,4.9
856-22-8149,A,Nueva York,Normal,Female,Home and lifestyle,25.29,26.5545,3/23/2019,10:13,Ewallet,6.1
699-01-4164,C,Houston,Normal,Male,Health and beauty,166,174.3,03/12/2019,19:58,Credit card,8.2
420-11-4919,C,Houston,Member,Female,Food and beverages,356.95,374.7975,2/17/2019,19:57,Credit card,5.5
606-80-4905,C,Houston,Member,Female,Sports and travel,114.9,120.645,1/29/2019,10:01,Credit card,6.8
542-41-0513,B,Chicago,Member,Female,Electronic accessories,229.96,241.458,3/15/2019,11:57,Cash,6.6
426-39-2418,C,Houston,Normal,Male,Electronic accessories,429.87,451.3635,1/14/2019,10:02,Cash,9.8
875-46-5808,B,Chicago,Member,Male,Health and beauty,259,271.95,02/06/2019,14:51,Ewallet,8.7
394-43-4238,B,Chicago,Member,Male,Home and lifestyle,88.85,93.2925,2/15/2019,12:42,Credit card,5.4
749-24-1565,A,Nueva York,Normal,Female,Health and beauty,207.27,217.6335,01/03/2019,12:02,Ewallet,7.9
672-51-8681,C,Houston,Member,Female,Electronic accessories,599.85,629.8425,01/04/2019,18:19,Credit card,9.7
263-87-5680,C,Houston,Member,Female,Home and lifestyle,285.3,299.565,3/18/2019,17:38,Ewallet,7.8
573-58-9734,B,Chicago,Normal,Female,Fashion accessories,91.11,95.6655,3/28/2019,13:41,Ewallet,5.1
817-69-8206,B,Chicago,Normal,Female,Electronic accessories,897.57,942.4485,03/02/2019,19:42,Credit card,6.5
888-02-0338,A,Nueva York,Normal,Male,Electronic accessories,236.07,247.8735,1/25/2019,20:24,Ewallet,5.9
677-11-0152,C,Houston,Normal,Female,Food and beverages,839.34,881.307,1/16/2019,18:08,Cash,8.8
142-63-6033,B,Chicago,Normal,Male,Home and lifestyle,461.8,484.89,3/20/2019,19:17,Ewallet,4.9
656-16-1063,B,Chicago,Normal,Male,Sports and travel,139.26,146.223,01/04/2019,13:24,Credit card,4.4
891-58-8335,B,Chicago,Member,Female,Sports and travel,207.27,217.6335,03/11/2019,15:53,Cash,6.5
802-43-8934,A,Nueva York,Normal,Male,Home and lifestyle,18.28,19.194,3/22/2019,15:05,Credit card,8.3
560-30-5617,B,Chicago,Normal,Female,Sports and travel,123.85,130.0425,3/24/2019,18:27,Cash,8.5
319-74-2561,A,Nueva York,Member,Female,Electronic accessories,283.92,298.116,2/21/2019,16:55,Cash,5.5
549-03-9315,B,Chicago,Normal,Male,Fashion accessories,758.96,796.908,02/12/2019,12:58,Ewallet,8.7
790-29-1172,B,Chicago,Normal,Female,Food and beverages,172.02,180.621,03/10/2019,18:59,Credit card,7.9
239-36-3640,B,Chicago,Normal,Male,Electronic accessories,272.1,285.705,1/31/2019,13:44,Ewallet,6.1
468-01-2051,B,Chicago,Normal,Male,Food and beverages,434.56,456.288,03/06/2019,13:46,Ewallet,5.4
389-25-3394,C,Houston,Normal,Male,Electronic accessories,59.05,62.0025,2/17/2019,18:06,Cash,9.4
279-62-1445,C,Houston,Member,Female,Fashion accessories,12.54,13.167,2/21/2019,12:38,Cash,8.2
213-72-6612,A,Nueva York,Normal,Male,Food and beverages,86.5,90.825,3/20/2019,15:56,Cash,6.2
746-68-6593,C,Houston,Member,Female,Sports and travel,174.32,183.036,01/11/2019,14:29,Credit card,9.7
836-82-5858,B,Chicago,Member,Male,Health and beauty,624.33,655.5465,1/26/2019,19:14,Ewallet,4
583-72-1480,C,Houston,Member,Male,Electronic accessories,148.24,155.652,1/31/2019,16:24,Ewallet,9.7
466-61-5506,B,Chicago,Member,Female,Electronic accessories,544.2,571.41,2/26/2019,10:52,Cash,5.3
721-86-6247,A,Nueva York,Normal,Female,Home and lifestyle,507.36,532.728,03/11/2019,12:55,Ewallet,7.4
289-65-5721,B,Chicago,Normal,Female,Fashion accessories,162.74,170.877,1/26/2019,19:28,Cash,6.5
545-46-3100,B,Chicago,Member,Female,Electronic accessories,31.77,33.3585,03/12/2019,13:52,Credit card,8.7
418-02-5978,B,Chicago,Normal,Female,Health and beauty,756.81,794.6505,02/11/2019,10:54,Cash,8
269-04-5750,B,Chicago,Member,Male,Fashion accessories,295.28,310.044,2/21/2019,18:31,Cash,6.7
157-13-5295,A,Nueva York,Member,Male,Health and beauty,519.4,545.37,03/09/2019,18:24,Ewallet,6.5
645-78-8093,A,Nueva York,Normal,Female,Sports and travel,186.28,195.594,1/20/2019,18:09,Ewallet,4.1
211-30-9270,C,Houston,Normal,Male,Health and beauty,87.05,91.4025,1/28/2019,15:16,Credit card,4.9
755-12-3214,C,Houston,Member,Female,Fashion accessories,221.1,232.155,03/05/2019,17:07,Credit card,8.6
346-84-3103,B,Chicago,Member,Female,Electronic accessories,66.1,69.405,03/02/2019,19:26,Cash,4.3
478-06-7835,A,Nueva York,Normal,Male,Fashion accessories,89.69,94.1745,01/11/2019,11:20,Ewallet,4.9
540-11-4336,A,Nueva York,Normal,Male,Food and beverages,224.46,235.683,01/11/2019,16:49,Credit card,5.6
448-81-5016,A,Nueva York,Normal,Male,Health and beauty,119.54,125.517,03/11/2019,12:01,Credit card,5.8
142-72-4741,C,Houston,Member,Male,Fashion accessories,186.4,195.72,2/28/2019,18:37,Credit card,6
217-58-1179,A,Nueva York,Member,Male,Home and lifestyle,250.6,263.13,01/05/2019,11:25,Cash,4.2
376-02-8238,B,Chicago,Normal,Male,Home and lifestyle,750.96,788.508,02/02/2019,18:42,Credit card,8.3
530-90-9855,A,Nueva York,Member,Male,Home and lifestyle,380.72,399.756,01/01/2019,14:47,Cash,5.7
